experiment_id,timestamp_utc,architecture,input_size,loss_fn,label_smoothing,focal_gamma,unfreeze_layers,backbone_total_layers,unfreeze_fraction_pct,frozen_epochs,finetune_epochs,initial_lr,finetune_lr,lr_scheduler,class_weights,batch_size,seed,split_method,n_splits,test_fold,val_fold,augmentation_note,val_macro_f1,val_balanced_acc,val_overall_acc,val_weighted_f1,mel_recall,mel_f1,df_recall,ece,model_size_mb,training_time_min,inference_latency_p50_ms,inference_latency_p95_ms,vs_e1_macro_f1_delta,accepted,notes
E2,2026-09-12T15:39:53.448136+00:00,EfficientNetB0,32x32,focal(gamma=2.0),0.0,2.0,10,238,4.2,1,1,0.001,0.0001,cosine,False,16,42,StratifiedGroupKFold,7,0,1,disabled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19776879996061325,16.29,0.73,100.67,148.94,-0.617,,Automated E2E CLI test
E2,2026-09-13T06:24:19.534386+00:00,EfficientNetB0,224x224,categorical_crossentropy,0.0,0.0,80,238,33.6,15,25,0.001,0.0001,reduce_lr,True,32,42,StratifiedGroupKFold,7,0,1,enabled,0.674743739,0.710431613,0.78600823,0.796068864,0.713513514,0.609699769,0.352941176,0.036186158,16.28,57.63,71.12,77.05,0.0577,ACCEPTED,"Extended fine-tuning: 80 layers, 25 epochs"
E3,2026-09-13T07:57:31.744701+00:00,EfficientNetB0,300x300,categorical_crossentropy,0.0,0.0,80,238,33.6,15,25,0.001,0.0001,reduce_lr,True,32,42,StratifiedGroupKFold,7,0,1,enabled,0.678153607,0.709477854,0.803840878,0.809137066,0.632432432,0.595419847,0.352941176,0.047621574,16.28,71.4,104.01,132.22,0.0612,ACCEPTED,"Resolution experiment: 300x300, 80 layers, 25 epochs"
E4,2026-09-13T09:47:21.201214+00:00,EfficientNetB3,300x300,categorical_crossentropy,0.0,0.0,80,385,20.8,15,25,0.001,0.0001,reduce_lr,True,32,42,StratifiedGroupKFold,7,0,1,enabled,0.67697171,0.709266462,0.793552812,0.800349852,0.659459459,0.61,0.470588235,0.08583139,42.46,90.75,90.88,134.06,0.06,,Architecture upgrade: EfficientNetB3 at 300x300
E5,2026-09-13T11:01:00.455210+00:00,EfficientNetB0,300x300,focal(gamma=2.0),0,2,80,238,33.6,15,25,0.001,0.0001,reduce_lr,TRUE,32,42,StratifiedGroupKFold,7,0,1,enabled,0.673985995,0.651105231,0.828532236,0.818887141,0.486486486,0.602006689,0.294117647,0.080031754,16.28,62.03,72.61,80.32,0.057,REJECTED,"Base E3 (300x300) + Focal Loss (gamma=2.0). No smoothing."
E6,2026-09-14T18:41:41.087895+00:00,EfficientNetB0,300x300,categorical_crossentropy(label_smoothing=0.1),0.1,0,80,238,33.6,15,25,0.001,0.0001,reduce_lr,TRUE,32,42,StratifiedGroupKFold,7,0,1,enabled,0.6941210936,0.7480839225,0.8155006859,0.8182974626,0.5945945946,0.6232294618,0.6470588235,0.03449114646,16.28,102.09,73.94,125.7,0.0771,ACCEPTED,"E3 base + Label Smoothing 0.1. CE loss. Testing calibration hypothesis."
E7,2026-09-15T13:24:28.961919+00:00,EfficientNetB0,224x224,categorical_crossentropy(label_smoothing=0.1),0.1,0,80,238,33.6,15,25,0.001,0.0001,reduce_lr,TRUE,32,42,StratifiedGroupKFold,7,0,1,enabled,0.7130169481,0.7362022118,0.8141289438,0.8203224598,0.6756756757,0.6157635468,0.5294117647,0.04224251996,16.28,80.98,71.59,82.14,0.096,ACCEPTED,"E2 base (224x224) + Label Smoothing 0.1. Testing recall preservation hypothesis."
E8,2026-09-15T14:02:25.864000+00:00,EfficientNetB0,224x224,categorical_crossentropy(label_smoothing=0.1),0.1,0,80,238,33.6,15,25,0.001,0.0001,reduce_lr,TRUE,32,42,StratifiedGroupKFold,7,0,1,enabled,0.7277448333,0.7394418903,N/A,N/A,0.6918918919,N/A,N/A,N/A,16.28,N/A,82.51,130.13,0.1107,ACCEPTED,"TTA (n=4) inference-only on E7 checkpoint. gain=+0.0147 F1. ratio=1.14x latency. Both E8 criteria passed."



